Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/L05/current/102/,SDN:L05::102,meteorological packages,"","Instrument that makes routine meteorological measurements on the atmosphere, typically air pressure, temperature and humidity.",2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB12/,SDN:L05::LAB12,titrators,"",Instruments that incrementally add quantified aliquites of a reagent to a sample until the end-point of a chemical reaction is reached.,1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/33/,SDN:L05::33,sediment traps,"",A collector of particulates as they sink through the water column.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/51/,SDN:L05::51,unconsolidated sediment corers,"",Devices designed to collect samples of unconsolidated sediment from between the surface and depths from centimetres to 10s of metres with minimal disturbance of the sediment structure.,3,false,2014-11-12 11:08:53.0
http://vocab.nerc.ac.uk/collection/L05/current/351/,SDN:L05::351,dissolved gas sensors,"","Instrument that measures the concentration of gases, generally oxygen, dissolved in the water column.",2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/POS03/,SDN:L05::POS03,NAVSTAR Global Positioning System receivers,GPS,"{
  ""accuracy"": ""better than 100m"",
  ""notes"": ""Global navigation based on a network of satellites deployed and maintained by the USA.""
}",3,false,2015-12-09 11:25:50.0
http://vocab.nerc.ac.uk/collection/L05/current/POS02/,SDN:L05::POS02,Global Navigation Satellite System receivers,GLONASS,"{""notes"": ""Based on a network of satellites deployed by the former Soviet Union.  The network was initiated in 1976 but fell into disrepair before full global coverage was reached during the political upheaval of the early 90s""}",2,false,2015-12-09 11:25:50.0
http://vocab.nerc.ac.uk/collection/L05/current/POS25/,SDN:L05::POS25,Kinematic Global Positioning System receivers,KGPS,"{
  ""accuracy"": ""Horizontal Accuracy: Fixed RTK mode: 1-5cm, Float RTK mode: 20cm-1m. Vertical accuracy : twice the horizontal accuracy"",
  ""operating"": ""Since the mid-1990s"",
  ""notes"": ""Real Time Kinematic (RTK) satellite navigation technique based on the use of carrier phase measurements of the GPS signals where a single reference station or a network of reference stations provides the real-time corrections.""
}",3,false,2015-12-09 11:25:50.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB37/,SDN:L05::LAB37,flow cytometers,"","Instruments that suspend cells in a stream of fluid past detection sensors whilst illuminating them with laser light. Used for cell counting, sorting, biomarker detection and protein engineering.",1,false,2012-08-02 14:45:33.0
http://vocab.nerc.ac.uk/collection/L05/current/386/,SDN:L05::386,Aerosol physical characterisers,"",Instruments that determine physical attributes such as size and abundance of atmospheric aerosols.,2,false,2010-10-01 10:36:44.0
http://vocab.nerc.ac.uk/collection/L05/current/111/,SDN:L05::111,sea level recorders,"",Instruments that make smoothed measurements of the elevation of the sea surface relative to a fixed vertical datum.,3,false,2015-11-30 12:50:09.0
http://vocab.nerc.ac.uk/collection/L05/current/61/,SDN:L05::61,demersal trawl nets,"",Nets towed over the sea floor designed to sample species living on or near the bottom.,1,false,2010-07-30 10:16:21.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB16/,SDN:L05::LAB16,mass spectrometers,"",Instruments used to measure the mass-to-charge ratio of ions most generally used to find the composition of a sample by generating a mass spectrum representing the masses of sample components.,1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/69/,SDN:L05::69,neuston net,"","A fine-meshed net designed to collect small size organisms, aggregates, or litter on top of or close to the surface of a water column (top 10 to 50 centimetres) including for example microzooplankton, mesozooplankton, nekton, microplastic or other litter.",2,false,2018-02-20 17:43:58.0
http://vocab.nerc.ac.uk/collection/L05/current/31/,SDN:L05::31,continuous water samplers,"","A device that continuously supplies a flow of water either to an analytical instrument, over a sensor or from which samples may be drawn.",2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/30/,SDN:L05::30,discrete water samplers,"","A device that collects an in-situ discrete water sample from any depth and returns it to the surface without contamination by the waters through which it passes, such as a water bottle.",2,false,2013-02-26 17:11:07.0
