lot	lot_id	year	month	day	hour	minute	time_period	record_subtype	tow	region	lat.ddmm.ss	long.ddmm.ss	northing	easting	tag_id	tag_colour	tag_active	tag_applied	tag_recapture	sex	length_type	total_length	tlength_type	tail_length	width_type	maximum_width	swidth_type	spiracle_width	clength_type	clasper_length	clasper_development	alar_spines	alar_development	alar_rows	malar_spines	malar_development	midline	pelvic_thorns	eyespots	eyespots_large	eyespots_small	eyespots_number	whip	empty_full	cloaca_extruded	weight_est	weight_note	unadj_weight_kg	weight_kg	unadj_weight_lb	weight_lb	finclip	species_confirmed	species_dfo	depth	bottom_temperature	bottom_salinity	tide_height	cloud_cover	weather	temperature	capture_details	health_on_capture	health_on_release	contact	collector	notes	error_check	error_note	capture_event	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	38.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	38.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	1.4	0.35	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.4	0.35	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.5	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.5	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	41.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.2	0.15	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	42.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	1.7	0.65	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	42.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.4	0.35	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	44.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.7	0.65	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	44.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.3	0.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	44.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.6	0.55	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	45.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.5	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	46.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.7	0.65	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	46.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.6	0.55	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	46.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.6	0.55	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	47.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.7	0.65	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	47.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2	0.95	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	47.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.8	0.75	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	49.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.8	0.75	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	49.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.5	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	50.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.9	0.85	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	52.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.9	0.85	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	53.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.3	1.25	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	55.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.1	1.05	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	58.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.5	1.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	58.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.2	1.15	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	59.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.9	1.85	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	60.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	2.5	1.45	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	61.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.9	1.85	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	63.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.8	1.75	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	63.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.9	1.85	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	65.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	3.7	2.65	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	70.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	0	NA	NA	NA	N	NA	3.7	2.65	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW02	2012	7	19	6	30	am	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	70.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	3.2	2.15	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.5	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	48.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.8	0.75	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	49.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	52.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	1.8	0.75	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	53.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.15	1.1	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	58.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.25	1.2	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	63.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.45	1.4	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	nearest 0.5 cm	65.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	3	1.95	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
1	2012B_DPW18	2012	7	19	18	30	pm	weir	NA	Avon Estuary	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	nearest 0.5 cm	68.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	2.8	1.75	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	inside	alive	alive	Darren Porter	NA	NA	NA	NA	NA	
